N,CPU,GPU
640001,0.00921940803527832,0.0004589557647705078
650001,0.010169744491577148,0.0004143714904785156
660001,0.010167360305786133,0.0004634857177734375
670001,0.010009765625,0.00044727325439453125
680001,0.011451005935668945,0.00040149688720703125
690001,0.010189056396484375,0.0005562305450439453
700001,0.010087251663208008,0.00040149688720703125
710001,0.010230064392089844,0.00039315223693847656
720001,0.010311365127563477,0.00041747093200683594
730001,0.010382413864135742,0.0004012584686279297
740001,0.010588884353637695,0.0003991127014160156
750001,0.010855913162231445,0.00040650367736816406
760001,0.011092185974121094,0.000423431396484375
770001,0.011184930801391602,0.00040149688720703125
780001,0.010987997055053711,0.00043702125549316406
790001,0.011228561401367188,0.00040268898010253906
800001,0.011138916015625,0.00039958953857421875
810001,0.011568784713745117,0.00042247772216796875
820001,0.011605262756347656,0.0004048347473144531
830001,0.011866331100463867,0.00041294097900390625
840001,0.012116670608520508,0.0004088878631591797
850001,0.012226104736328125,0.00042939186096191406
860001,0.012230396270751953,0.0004286766052246094
870001,0.012464046478271484,0.0004241466522216797
880001,0.012572765350341797,0.000431060791015625
890001,0.012400627136230469,0.00041103363037109375
900001,0.012486934661865234,0.0004215240478515625
910001,0.012804985046386719,0.0004191398620605469
920001,0.013133764266967773,0.00055694580078125
930001,0.013442516326904297,0.000438690185546875
940001,0.013239383697509766,0.0004324913024902344
950001,0.013462305068969727,0.00044035911560058594
960001,0.013207435607910156,0.000423431396484375
970001,0.013460397720336914,0.00043129920959472656
980001,0.013713359832763672,0.00042557716369628906
990001,0.013889551162719727,0.00043654441833496094
1000001,0.014062166213989258,0.00042366981506347656
1010001,0.013955354690551758,0.00044226646423339844
1020001,0.014281511306762695,0.00044608116149902344
1030001,0.014243125915527344,0.00044465065002441406
1040001,0.014940738677978516,0.0004553794860839844
1050001,0.014899730682373047,0.00044655799865722656
1060001,0.01542353630065918,0.0005576610565185547
1070001,0.01606297492980957,0.0005528926849365234
1080001,0.015513181686401367,0.0004572868347167969
1090001,0.01571369171142578,0.00046443939208984375
1100001,0.015681028366088867,0.00044918060302734375
1110001,0.015729427337646484,0.0004627704620361328
1120001,0.01584005355834961,0.0004589557647705078
1130001,0.016122817993164062,0.0004792213439941406
1140001,0.016560077667236328,0.0004703998565673828
1150001,0.01638054847717285,0.00045371055603027344
1160001,0.016112565994262695,0.00045561790466308594
1170001,0.01709604263305664,0.00046181678771972656
1180001,0.01679372787475586,0.0004649162292480469
1190001,0.017113447189331055,0.0006561279296875
1200001,0.01787400245666504,0.0005235671997070312
1210001,0.017418622970581055,0.00047397613525390625
1220001,0.017340660095214844,0.00047326087951660156
1230001,0.01785898208618164,0.0005629062652587891
1240001,0.017814159393310547,0.0006330013275146484
1250001,0.017805814743041992,0.0007283687591552734
1260001,0.018256664276123047,0.0004696846008300781
1270001,0.017470121383666992,0.0005307197570800781
1280001,0.03505849838256836,0.001033782958984375
1290001,0.028727054595947266,0.0004918575286865234
1300001,0.023378610610961914,0.0006504058837890625
1310001,0.022373437881469727,0.0005016326904296875
1320001,0.019006967544555664,0.0004763603210449219
1330001,0.018826723098754883,0.0004942417144775391
1340001,0.018945932388305664,0.0005462169647216797
1350001,0.019397258758544922,0.0004978179931640625
1360001,0.019408702850341797,0.0004911422729492188
1370001,0.019382715225219727,0.00048232078552246094
1380001,0.020116806030273438,0.0005028247833251953
1390001,0.019535541534423828,0.0004811286926269531
1400001,0.02029705047607422,0.0004994869232177734
1410001,0.019684553146362305,0.0004942417144775391
1420001,0.02044844627380371,0.0004923343658447266
1430001,0.01966381072998047,0.0004878044128417969
1440001,0.020255088806152344,0.0004723072052001953
1450001,0.020277976989746094,0.0006053447723388672
1460001,0.02074122428894043,0.0005238056182861328
1470001,0.020618438720703125,0.0005011558532714844
1480001,0.020778894424438477,0.0004801750183105469
1490001,0.021515369415283203,0.0004994869232177734
1500001,0.02107095718383789,0.0005168914794921875
1510001,0.021244287490844727,0.0004899501800537109
1520001,0.022043228149414062,0.0004994869232177734
1530001,0.021581649780273438,0.0005736351013183594
1540001,0.021645784378051758,0.0005190372467041016
1550001,0.021680831909179688,0.0005135536193847656
1560001,0.02179884910583496,0.0004956722259521484
1570001,0.021997690200805664,0.0005192756652832031
1580001,0.02198958396911621,0.0005192756652832031
